2023-12-20 10:15:57.730 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-kabrio-2019r-1-4-165km-manual-lift-nawigacja-klimatronik-bezoweskory-ID6FUTtz.htmlhuj
2023-12-20 10:15:57.769 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-500e-ID6FEz34.html.
2023-12-20 10:15:57.770 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-500e-ID6FEz34.htmlhuj
2023-12-20 10:15:57.770 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-yamaha-racing-factory-235km-ID6FZwa4.html.
2023-12-20 10:15:57.771 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-yamaha-racing-factory-235km-ID6FZwa4.htmlhuj
2023-12-20 10:15:57.777 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-competizione-ID6G37is.html.
2023-12-20 10:15:57.777 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-competizione-ID6G37is.htmlhuj
2023-12-20 10:15:57.796 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-500-lpg-ID6FT1Ay.html.
2023-12-20 10:15:57.797 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-500-bev-turismo-cabrio-2023r-ID6FZNPe.html.
2023-12-20 10:15:57.797 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-500-lpg-ID6FT1Ay.htmlhuj
2023-12-20 10:15:57.798 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-500-bev-turismo-cabrio-2023r-ID6FZNPe.htmlhuj
2023-12-20 10:15:57.813 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-500-fiat-500-abarth-t-jet-ID6FUv0w.html.
2023-12-20 10:15:57.814 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-500-fiat-500-abarth-t-jet-ID6FUv0w.htmlhuj
2023-12-20 10:15:57.996 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-grande-punto-iwl-salon-pl-biala-perla-ID6Fofmo.html.
2023-12-20 10:15:57.996 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-grande-punto-iwl-salon-pl-biala-perla-ID6Fofmo.htmlhuj
2023-12-20 10:15:58.757 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-500-europa-abarth-automat-nawigacja-szyberdach-klimatronik-ID6G4B6r.html.
2023-12-20 10:15:58.758 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-500-europa-abarth-automat-nawigacja-szyberdach-klimatronik-ID6G4B6r.htmlhuj
2023-12-20 10:15:58.880 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-1-4-t-jet-165-km-2022r-system-audio-hi-fi-beats-biksenon-ID6G3SxS.html.
2023-12-20 10:15:58.880 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-1-4-t-jet-165-km-2022r-system-audio-hi-fi-beats-biksenon-ID6G3SxS.htmlhuj
2023-12-20 10:15:58.916 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-punto-evo-punto-supersport-abarth-1-4turbo-limitowana-edycja-popcorn-ID6G2PWK.html.
2023-12-20 10:15:58.916 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-punto-evo-punto-supersport-abarth-1-4turbo-limitowana-edycja-popcorn-ID6G2PWK.htmlhuj
2023-12-20 10:15:58.922 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-595-ID6FVJcO.html.
2023-12-20 10:15:58.922 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-595-ID6FVJcO.htmlhuj
2023-12-20 10:15:58.956 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-1-wlasciciel-pl-salon-ID6G3GFX.html.
2023-12-20 10:15:58.957 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-1-wlasciciel-pl-salon-ID6G3GFX.htmlhuj
2023-12-20 10:15:59.098 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-pista-ID6FIIrB.html.
2023-12-20 10:15:59.099 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-pista-ID6FIIrB.htmlhuj
2023-12-20 10:15:59.102 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-252ps-375nm-f-vat-sabelt-sforza-koshi-kw-mg-ID6FYRYx.html.
2023-12-20 10:15:59.103 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-252ps-375nm-f-vat-sabelt-sforza-koshi-kw-mg-ID6FYRYx.htmlhuj
2023-12-20 10:15:59.205 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-ID6FFMVh.html.
2023-12-20 10:15:59.206 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-ID6FFMVh.htmlhuj
2023-12-20 10:15:59.528 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-grande-punto-fiat-punto-abarth-ID6FQyok.html.
2023-12-20 10:15:59.529 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-grande-punto-fiat-punto-abarth-ID6FQyok.htmlhuj
2023-12-20 10:15:59.925 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-ID6G3CnY.html.
2023-12-20 10:15:59.925 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-ID6G3CnY.htmlhuj
2023-12-20 10:15:59.938 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-595-s4-1-4-t-jet-145-km-elaborabile-ID6G1hZ1.html.
2023-12-20 10:15:59.939 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-595-s4-1-4-t-jet-145-km-elaborabile-ID6G1hZ1.htmlhuj
2023-12-20 10:15:59.942 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-2017-salon-pl-ID6FswnE.html.
2023-12-20 10:15:59.942 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-2017-salon-pl-ID6FswnE.htmlhuj
2023-12-20 10:15:59.950 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-turismo-165km-pl-brazowe-skory-ID6FW2uh.html.
2023-12-20 10:15:59.951 Środkowoeuropejski czas stand. | INFO      Error: 404 Client Error: Not Found for url: https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-turismo-165km-pl-brazowe-skory-ID6FW2uh.htmlhuj
